Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Date,Delivery_Term,City,price_per_m2,total_rooms,Log_Price,Log_Area
2,4000000.0,3.0,3.0,400.0,0,7,cash,ready_to_move,1,117,10000.0,6.0,15.201805169084134,5.993961427306569
0,4000000.0,3.0,3.0,160.0,0,10+,cash,ready_to_move,1,42,25000.0,6.0,15.201805169084134,5.081404364984463
0,2250000.0,3.0,2.0,165.0,0,1,cash,ready_to_move,1,166,13636.363636363636,5.0,14.626441218624949,5.111987788356544
0,1900000.0,3.0,2.0,230.0,0,10,cash,ready_to_move,1,117,8260.869565217392,5.0,14.45736497045232,5.442417710521793
0,5800000.0,2.0,3.0,160.0,0,Ground,cash,ready_to_move,3,119,36250.0,5.0,15.573368647930426,5.081404364984463
0,1844900.0,4.0,3.0,222.0,0,1,cash or installment,2024,3,119,8310.36036036036,7.0,14.427936175480509,5.407171771460119
2,3900000.0,5.0,5.0,290.0,0,Highest,unknown payment,ready_to_move,1,119,13448.275862068966,10.0,15.176487367510099,5.673323267171493
0,1650000.0,2.0,2.0,144.0,0,1,unknown payment,ready_to_move,1,159,11458.333333333334,4.0,14.316286451937186,4.976733742420574
0,1560000.0,3.0,3.0,200.0,1,Ground,unknown payment,unknown,3,119,7800.0,6.0,14.260197020251155,5.303304908059076
0,992800.0,3.0,2.0,146.0,1,3,cash or installment,2024,3,119,6800.0,5.0,13.808285520124244,4.990432586778736
0,309825.0,4.0,3.0,153.0,0,1,cash or installment,2024,3,119,2025.0,7.0,12.643766128556367,5.0369526024136295
0,1150000.0,3.0,2.0,165.0,0,2,cash,ready_to_move,1,161,6969.69696969697,5.0,13.955273369904273,5.111987788356544
0,550000.0,2.0,1.0,94.0,0,2,cash,ready_to_move,1,166,5851.063829787234,3.0,13.217675375388819,4.553876891600541
0,2600000.0,3.0,2.0,140.0,2,10+,cash or installment,ready_to_move,1,164,18571.428571428572,5.0,14.77102238760702,4.948759890378168
0,800000.0,2.0,1.0,130.0,0,3,cash,unknown,1,63,6153.846153846154,3.0,13.592368256649284,4.875197323201151
0,480000.0,3.0,3.0,167.0,1,3,cash or installment,unknown,1,119,2874.251497005988,6.0,13.081543466215237,5.123963979403259
3,975000.0,4.0,2.0,229.0,0,4,cash,ready_to_move,3,113,4257.6419213973795,6.0,13.790193775620484,5.438079308923196
0,143000.0,1.0,1.0,71.0,0,1,cash or installment,unknown,3,120,2014.0845070422536,2.0,11.870606902224587,4.276666119016055
0,1600000.0,3.0,2.0,220.0,0,9,cash or installment,ready_to_move,0,117,7272.727272727273,5.0,14.285514812209815,5.3981627015177525
2,1100000.0,3.0,2.0,165.0,1,Ground,installment,unknown,3,121,6666.666666666667,5.0,13.910821646859095,5.111987788356544
0,820000.0,3.0,3.0,184.0,1,1,cash or installment,unknown,4,119,4456.521739130435,6.0,13.617060838751888,5.220355825078324
0,2350000.0,3.0,3.0,178.0,0,2,cash,ready_to_move,1,119,13202.247191011236,6.0,14.669926311652166,5.187385805840755
0,1050000.0,3.0,1.0,108.0,0,3,cash or installment,2023,3,178,9722.222222222223,4.0,13.864301674514206,4.6913478822291435
0,1500000.0,3.0,2.0,136.0,0,3,cash,ready_to_move,2,117,11029.411764705883,5.0,14.220976332738882,4.919980925828125
0,2100000.0,3.0,2.0,168.0,0,3,cash,ready_to_move,1,3,12500.0,5.0,14.557448378884015,5.1298987149230735
0,1730000.0,3.0,2.0,160.0,0,7,unknown payment,unknown,4,166,10812.5,5.0,14.363632544508476,5.081404364984463
0,1615000.0,3.0,2.0,190.0,0,3,cash or installment,within_6_months,2,98,8500.0,5.0,14.29484613383375,5.25227342804663
0,810000.0,3.0,2.0,127.0,0,2,cash,ready_to_move,3,161,6377.952755905511,5.0,13.60479076121576,4.852030263919617
0,1500000.0,3.0,2.0,155.0,0,2,cash or installment,2023,3,119,9677.41935483871,5.0,14.220976332738882,5.049856007249537
0,1040000.0,3.0,3.0,164.0,0,Ground,installment,2024,3,122,6341.463414634146,6.0,13.854732232655556,5.10594547390058
0,975000.0,2.0,2.0,121.0,0,4,cash or installment,2024,3,85,8057.851239669421,4.0,13.790193775620484,4.804021044733257
0,599000.0,3.0,2.0,145.0,0,2,cash or installment,ready_to_move,1,33,4131.0344827586205,5.0,13.303018546545275,4.983606621708336
0,970669.0,3.0,2.0,163.0,0,1,installment,ready_to_move,3,161,5955.0245398773,5.0,13.785741833690642,5.099866427824199
2,6095000.0,4.0,5.0,246.0,0,Ground,unknown payment,2024,1,159,24776.422764227642,9.0,15.622979484966404,5.5093883366279774
0,5514000.0,3.0,3.0,170.0,0,2,cash or installment,unknown,1,159,32435.29411764706,6.0,15.522801051922409,5.14166355650266
2,590000.0,4.0,2.0,238.0,0,Ground,cash or installment,within_6_months,2,119,2478.9915966386557,6.0,13.28787951079572,5.476463551931511
0,720000.0,1.0,1.0,90.0,0,2,cash or installment,2025,3,120,8000.0,2.0,13.487007879880162,4.51085950651685
0,3100000.0,3.0,2.0,200.0,1,1,installment,ready_to_move,1,119,15500.0,5.0,14.946912992035967,5.303304908059076
0,1368000.0,3.0,3.0,169.0,0,Ground,installment,unknown,3,119,8094.674556213018,6.0,14.128861108158517,5.135798437050262
0,6200000.0,3.0,2.0,175.0,1,4,cash,unknown,4,167,35428.57142857143,5.0,15.64006001130563,5.170483995038151
0,550000.0,2.0,2.0,75.0,0,9,cash or installment,ready_to_move,3,79,7333.333333333333,4.0,13.217675375388819,4.330733340286331
0,550000.0,3.0,1.0,90.0,0,2,cash,ready_to_move,1,60,6111.111111111111,4.0,13.217675375388819,4.51085950651685
2,1100000.0,4.0,3.0,282.0,0,Ground,cash or installment,unknown,3,3,3900.709219858156,7.0,13.910821646859095,5.645446897643238
0,550000.0,2.0,1.0,85.0,0,2,installment,ready_to_move,1,39,6470.588235294118,3.0,13.217675375388819,4.454347296253507
0,1000000.0,2.0,1.0,100.0,0,9,cash,unknown,4,117,10000.0,3.0,13.815511557963774,4.61512051684126
0,657400.0,3.0,2.0,134.0,0,4,installment,2024,3,122,4905.9701492537315,5.0,13.396049461355,4.90527477843843
0,810000.0,3.0,1.0,140.0,2,5,cash,ready_to_move,1,111,5785.714285714285,4.0,13.60479076121576,4.948759890378168
0,1446394.0,3.0,2.0,158.0,0,4,unknown payment,ready_to_move,3,119,9154.39240506329,5.0,14.184584811755666,5.0689042022202315
0,1750000.0,3.0,2.0,160.0,0,5,cash,ready_to_move,1,66,10937.5,5.0,14.375126917328105,5.081404364984463
0,1691150.0,3.0,2.0,154.5,0,Ground,cash or installment,within_6_months,4,119,10945.954692556634,5.0,14.340919920168437,5.0466457316192885
0,362000.0,3.0,3.0,160.0,1,2,cash or installment,ready_to_move,4,119,2262.5,6.0,12.799402253235032,5.081404364984463
0,1995000.0,2.0,1.0,100.0,0,1,cash or installment,ready_to_move,1,13,19950.0,3.0,14.506155109559108,4.61512051684126
